job_id,category,title,description
1,Eligibility,Core Eligibility Criteria,"Must be a citizen of India, aged 21-32 (relaxations for reserved categories). Bachelor's degree from a recognized university required. Physical standards apply for certain services. No attempt limit beyond age."
1,Exam Pattern,Three-Stage Selection,"Prelims (MCQ, 400 marks, qualifying), Mains (9 papers, 1750 marks, descriptive), Interview (275 marks). Total merit based on Mains + Interview."
1,Key Role,Administrative Leadership,"Leads district/state administration, policy implementation, crisis management, and public welfare programs. Involves decision-making at central/state levels."
1,Salary & Benefits,Competitive Pay Scale,"Starting ₹56,100 (Level 10) + allowances (DA, HRA). Includes medical, housing, pension, and foreign postings. Gross ~₹1-1.5L/month initially."
2,Eligibility,Core Eligibility Criteria,"Must be a citizen of India, aged 21-32 (relaxations for reserved categories). Bachelor's degree from a recognized university required. Physical fitness mandatory (height, chest, vision standards)."
2,Exam Pattern,Three-Stage Selection,"Prelims (MCQ, 400 marks, qualifying), Mains (9 papers, 1750 marks, descriptive), Interview (275 marks). Total merit based on Mains + Interview."
2,Key Role,Law Enforcement Officer,"Maintains law & order, leads police forces, investigates crimes, and ensures public safety. Involves field operations and administrative duties."
2,Salary & Benefits,Competitive Pay Scale,"Starting ₹56,100 (Level 10) + allowances (DA, HRA). Includes medical, housing, pension, and risk allowances. Gross ~₹1-1.5L/month initially."
3,Eligibility,Core Eligibility Criteria,"Must be a citizen of India, aged 21-32 (relaxations for reserved categories). Bachelor's degree from a recognized university required. Preference for science/engineering backgrounds."
3,Exam Pattern,Three-Stage Selection,"Prelims (MCQ, 400 marks, qualifying), Mains (9 papers, 1750 marks, descriptive), Interview (275 marks). Total merit based on Mains + Interview."
3,Key Role,Forest Conservation Officer,"Manages wildlife sanctuaries, implements environmental policies, combats deforestation, and promotes sustainable development."
3,Salary & Benefits,Competitive Pay Scale,"Starting ₹60,000 (Level 10) + allowances (DA, HRA). Includes field postings, medical, and eco-related perks. Gross ~₹1-1.5L/month initially."
4,Eligibility,Basic Academic Requirements,Aged 21-30. Graduation with 60% marks (50% for reserved). Knowledge of economics/banking preferred.
4,Exam Pattern,Two-Phase Exam,"Phase I (Prelims: objective, 200 marks), Phase II (Mains: descriptive + objective, 300 marks), Interview (75 marks)."
4,Key Role,Monetary Policy Expert,"Regulates banking sector, formulates economic policies, manages foreign exchange, and advises on financial stability."
4,Salary & Benefits,High Remuneration Package,"Starting ₹70,000 (Level 10) + DA, HRA. Includes pension, medical, LTC, and education allowances. Gross ~₹1.2-1.8L/month."
5,Eligibility,Graduation Mandate,Aged 20-30. Any bachelor's degree. Computer proficiency required.
5,Exam Pattern,Three-Tier Process,"Prelims (100 marks objective), Mains (200 marks objective + descriptive), Group Discussion/Interview (20 marks)."
5,Key Role,Branch Banking Officer,"Manages daily operations, customer service, loan processing, and sales targets in bank branches."
5,Salary & Benefits,Attractive Banking Perks,"Starting ₹40,000 (Level 7) + incentives. Includes PF, medical, housing loan subsidies. Gross ~₹60K-80K/month."
6,Eligibility,Educational Qualification,Aged 20-30. Graduation in any discipline. Basic computer knowledge.
6,Exam Pattern,Common Recruitment,"Prelims (100 questions, 100 marks), Mains (155 questions, 200 marks), Interview (100 marks)."
6,Key Role,Public Sector Banker,"Handles accounts, transactions, customer queries, and compliance in government banks."
6,Salary & Benefits,Standard Pay Structure,"Starting ₹35,000 (Level 7) + allowances. PF, gratuity, medical coverage. Gross ~₹50K-70K/month."
7,Eligibility,Bachelor's Degree Required,Aged 18-32. Graduation from recognized university. Typing speed test for some posts.
7,Exam Pattern,Tiered Examination,"Tier 1 (Prelims: 200 marks MCQ), Tier 2 (Mains: 200 marks), Tier 3 (Skill Test for select posts), Document Verification."
7,Key Role,Assistant Audit Officer,"Assists in financial audits, compliance checks, and reporting for government accounts."
7,Salary & Benefits,Government Scale Benefits,"Starting ₹45,000 (Level 8) + DA, HRA. Pension, medical, LTC. Gross ~₹70K-90K/month."
